   ATIVO      FROTA
     403       U26C
     531        G12
     532        G12
     535        G12
     541        G12
     542        G12
     543        G12
     544        G12
     545        G12
     548        G12
     549        G12
     550        G12
     551        G12
     552        G12
     554        G12
     555        G12
     556        G12
     557        G12
     558        G12
     559        G12
     560        G12
     562        G12
     563        G12
     564        G12
     565        G12
     601        G16
     602        G16
     604        G16
     605        G16
     606        G16
     607        G16
     608        G16
     609        G16
     611        G16
     612        G16
     613        G16
     614        G16
     617        G16
     619        G16
     621        G16
     622        G16
     623        G16
     625        G16
     626        G16
     627        G16
     628        G16
     629        G16
     630        G16
     631        G16
     632        G16
     633        G16
     634        G16
     635        G16
     636        G16
     638        G16
     639        G16
     640        G16
     641        G16
     701     DASH-7
     703     DASH-7
     706     DASH-7
     709     DASH-7
     717     DASH-7
     726     DASH-7
     731     DASH-7
     736     DASH-7
     741     DASH-7
     743     DASH-7
     746     DASH-7
     747     DASH-7
     808     DDM-45
     811     DDM-45
     812     DDM-45
     814     DDM-45
     819     DDM-45
     820     DDM-45
     825     DDM-45
     826     DDM-45
     831     DDM-45
     832     DDM-45
     833     DDM-45
     835     DDM-45
     836     DDM-45
     839     DDM-45
     845     DDM-45
     851     DDM-45
     854     DDM-45
     855     DDM-45
     864     DDM-45
     866     DDM-45
     873     DDM-45
     874     DDM-45
     875     DDM-45
     876     DDM-45
     877     DDM-45
     880     DDM-45
     883     DDM-45
     885       SD45
     886       SD45
     887       SD45
     888       SD45
   1001     DASH-8
   1002     DASH-8
   1003     DASH-8
   1004     DASH-8
   1005     DASH-8
   1006     DASH-8
   1101    DASH-9M
   1102    DASH-9M
   1103    DASH-9M
   1104    DASH-9M
   1105    DASH-9M
   1106    DASH-9M
   1107    DASH-9M
   1108    DASH-9M
   1109    DASH-9M
   1110    DASH-9M
   1111    DASH-9M
   1112    DASH-9M
   1113    DASH-9W
   1114    DASH-9W
   1115    DASH-9W
   1116    DASH-9W
   1117    DASH-9W
   1118    DASH-9W
   1119    DASH-9W
   1120    DASH-9W
   1121    DASH-9W
   1122    DASH-9W
   1123    DASH-9W
   1124    DASH-9W
   1125    DASH-9W
   1126    DASH-9W
   1127    DASH-9W
   1128    DASH-9W
   1129    DASH-9W
   1130    DASH-9W
   1131    DASH-9W
   1132    DASH-9W
   1133    DASH-9W
   1134    DASH-9W
   1135    DASH-9W
   1136    DASH-9W
   1137    DASH-9W
   1138    DASH-9W
   1139    DASH-9W
   1140    DASH-9W
   1141    DASH-9W
